地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年
北京省,,8.12,8.24,9.06,9.32,7.96,9.75,8.93,9.05,8.29
天津省,,6.73,6.67,7.65,7.37,5.84,8.19,8.28,8.75,8.58
河北省,,10.83,11.26,13.2,12.42,11.35,13.18,13.04,12.88,13.02
山西省,,9.12,9.63,11.06,10.29,9.98,10.92,10.81,10.7,10.47
内蒙古省,,8.23,8.35,9.47,9.03,7.72,9.31,8.98,9.17,8.94
辽宁省,,6.45,6.39,6.49,6.6,6.17,6.49,6.09,6.15,5.71
吉林省,,6.05,6.62,6.76,5.55,5.87,6.62,5.36,5.73,6.53
黑龙江省,,5.73,5.98,6.22,6.12,6,7.37,6.86,7.3,6.99
上海省,,7,7.2,8.1,9,7.52,8.35,8.18,9.56,6.97
江苏省,,9.12,9.32,9.71,9.76,9.05,9.45,9.44,9.44,9.59
浙江省,,10.51,11.02,11.92,11.22,10.52,10.51,10.01,10.12,9.47
安徽省,,12.03,12.41,14.07,13.02,12.92,12.86,12.88,13,12.23
福建省,,12.9,13.2,15,14.5,13.9,13.7,12.2,12.74,11.41
江西省,,12.59,13.43,13.79,13.45,13.2,13.24,13.19,13.46,13.48
山东省,,11.77,13.26,17.54,17.89,12.55,14.23,11.41,11.9,11.5
河南省,,11.02,11.72,12.95,13.26,12.7,12.8,12.27,11.87,11.56
湖北省,,11.35,11.54,12.6,12.04,10.74,11.86,11.08,11,10.39
湖南省,,10.39,12.19,13.27,13.57,13.58,13.52,13.5,13.58,13.35
广东省,,12.54,12.79,13.68,11.85,11.12,10.8,10.71,11.6,10.45
广西省,,13.31,14.12,15.14,13.82,14.05,14.07,14.28,14.2,13.71
海南省,,12.87,14.48,14.73,14.57,14.57,14.56,14.59,14.66,14.72
重庆省,,10.48,11.02,11.18,11.77,11.05,10.67,10.37,10.86,9.88
四川省,,10.7,11.05,11.26,10.48,10.3,10.22,9.9,9.89,9.79
贵州省,,13.65,13.9,13.98,13.43,13,12.98,13.05,13.27,13.31
云南省,,12.63,13.19,13.53,13.16,12.88,12.65,12.6,12.63,12.71
西藏省,,14.6,15.22,16,15.79,15.75,15.76,15.77,15.48,15.39
陕西省,,10.55,10.67,11.11,10.64,10.1,10.13,10.01,10.12,9.75
甘肃省,,10.6,11.07,12.54,12.18,12.36,12.21,12.16,12.11,12.08
青海省,,13.66,14.31,14.42,14.7,14.72,14.67,14.16,14.3,14.43
宁夏省,,13.72,13.32,13.44,13.69,12.62,13.1,13.12,13.26,13.65
新疆省,,8.14,10.69,15.88,15.34,15.59,16.44,15.84,15.32,14.99
