地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年
北京省,,2.63,2.66,3.76,4.12,3.01,4.83,4.41,4.74,4.02
天津省,,1.43,1.25,2.6,1.83,0.23,2.14,2.28,2.63,2.5
河北省,,4.71,4.88,6.6,6.06,5.56,6.95,6.17,6.47,6.5
山西省,,3.27,4.31,5.61,4.77,4.42,4.99,5.24,4.87,4.86
内蒙省,,2.57,2.4,3.73,3.34,2.4,3.56,3.36,3.65,3.51
辽宁省,,-0.8,-1,-0.44,-0.18,-0.42,0.26,-0.03,-0.39,-0.34
吉林省,,-0.85,0.36,0.26,-0.05,0.34,0.4,0.32,0.36,1.02
黑龙江省,,-1.01,-0.69,-0.41,-0.49,-0.6,0.91,0.78,1.27,1.07
上海省,,1.5,1.8,2.8,4,2.45,3.14,2.94,4.2,1.87
江苏省,,2.08,2.29,2.68,2.73,2.02,2.43,2.43,2.45,2.61
浙江省,,4.99,5.44,6.36,5.7,5.02,5,4.56,4.6,4.07
安徽省,,5.99,6.45,8.17,7.06,6.98,6.97,6.82,6.86,6.32
福建省,,6.8,7,8.8,8.3,7.8,7.5,6.19,7.01,6.21
江西省,,6.56,7.37,7.71,7.29,6.96,6.98,6.91,7.32,7.5
山东省,,4.27,6.08,10.14,10.84,5.88,7.39,5.01,4.95,5.1
河南省,,4.18,4.92,5.98,6.15,5.65,5.78,5.51,5.16,4.94
湖北省,,4.27,4.54,5.59,5.07,4.91,4.9,4.93,4.88,4.38
湖南省,,3.11,5.11,6.19,6.56,6.72,6.63,6.54,6.57,6.55
广东省,,8.08,8.24,9.16,7.44,6.8,6.1,6.02,6.95,6.1
广西省,,7.17,8.16,8.92,7.87,7.9,7.86,7.93,7.89,7.67
海南省,,6.76,8.47,8.72,8.57,8.57,8.61,8.69,8.85,8.97
重庆省,,2.91,3.48,3.91,4.53,3.86,3.62,3.6,4,3.17
四川省,,3.61,4.04,4.23,3.49,3.36,3.2,3,2.97,2.98
贵州省,,6.7,7.05,7.1,6.5,5.8,5.8,5.9,6.31,6.38
云南省,,6.43,6.87,6.85,6.61,6.4,6.2,6.17,6.22,6.35
西藏省,,10.14,10.64,11.05,10.68,10.65,10.55,10.38,10.27,10.26
陕西省,,4.27,4.43,4.87,4.41,3.82,3.87,3.86,3.88,3.69
甘肃省,,3.85,4.42,6.02,6,6.21,6.1,6.08,6.06,6.05
青海省,,7.58,8.06,8.25,8.52,8.55,8.49,8.03,8.24,8.31
宁夏省,,8.03,7.78,8.69,8.97,8.04,8.57,8.62,8.93,8.97
新疆省,,3.69,6.13,11.4,11.08,11.08,11.47,10.92,10.84,10.57
