地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年
北京省,2189,2190,2192,2194,2195,2188,2171,2125,2078,2024
天津省,1387,1385,1383,1410,1443,1439,1429,1410,1378,1341
河北省,7464,7447,7426,7409,7375,7345,7323,7288,7262,7232
山西省,3490,3497,3502,3510,3514,3519,3528,3535,3548,3562
内蒙古省,2403,2415,2422,2433,2436,2440,2449,2455,2464,2470
辽宁省,4255,4277,4291,4312,4327,4338,4358,4365,4375,4379
吉林省,2399,2448,2484,2526,2567,2613,2642,2668,2698,2725
黑龙江省,3171,3255,3327,3399,3463,3529,3608,3666,3724,3782
上海省,2488,2481,2475,2466,2467,2458,2467,2448,2399,2356
江苏省,8477,8469,8446,8423,8381,8315,8281,8192,8120,8023
浙江省,6468,6375,6273,6170,6072,5985,5890,5784,5685,5570
安徽省,6105,6092,6076,6057,6033,6011,5997,5988,5978,5972
福建省,4161,4137,4104,4065,4016,3984,3945,3885,3841,3784
江西省,4519,4516,4513,4511,4496,4485,4480,4476,4475,4474
山东省,10165,10106,10077,10033,9973,9866,9808,9746,9708,9665
河南省,9941,9901,9864,9829,9778,9701,9645,9573,9532,9461
湖北省,5745,5927,5917,5904,5885,5850,5816,5798,5781,5760
湖南省,6645,6640,6635,6633,6625,6615,6611,6600,6590,6581
广东省,12624,12489,12348,12141,11908,11678,11489,11270,11041,10756
广西省,5019,4982,4947,4907,4857,4811,4770,4731,4694,4655
海南省,1012,995,982,972,957,945,936,920,910,890
重庆省,3209,3188,3163,3144,3110,3070,3043,3011,2975,2944
四川省,8371,8351,8321,8289,8251,8196,8139,8109,8085,8064
贵州省,3858,3848,3822,3803,3758,3708,3677,3632,3587,3530
云南省,4722,4714,4703,4693,4677,4663,4653,4641,4631,4620
西藏省,366,361,354,349,340,330,325,317,315,309
陕西省,3955,3944,3931,3904,3874,3846,3827,3804,3787,3765
甘肃省,2501,2509,2515,2522,2520,2523,2531,2537,2550,2552
青海省,593,590,587,586,582,577,576,571,571,568
宁夏省,721,717,710,705,695,684,678,666,659,648
新疆省,2590,2559,2520,2480,2428,2385,2325,2285,2253,2225
