地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年
北京市,,3087,3452,3768,4070,80272,4658,4496,4746,5201,,4364,4499,4225,4058,63027,4666,4796,4722,
天津市,,3763,4160,3949,4169,85899,4158,4242,3990,4059,,3785,3587,3546,3387,50103,3468,3597,3557,
河北省,,23716,24788,25999,25765,468196,26964,26955,28314,28324,,28577,28487,28441,28185,391553,28259,27200,26602,
山西省,,11903,12146,12353,12675,230264,13048,13129,13065,13699,,13756,14052,13997,13859,192850,14918,14220,13709,
内蒙古自治区,,6669,6996,7038,7552,138368,8186,8374,8209,7977,,8562,8741,8315,8353,114065,8581,8396,8409,
辽宁省,,14465,15482,15209,15399,293115,15573,15256,15616,16810,,17546,17035,17137,16992,244140,18936,17990,18520,
吉林省,,8681,8813,8754,9333,174513,9189,9594,9955,9588,,10607,10600,10382,10107,143398,10903,10822,10145,
黑龙江省,,12213,13118,13455,13491,257250,13826,13761,14154,15248,,15787,15695,15766,15111,211122,17387,16778,15569,
上海市,,5499,5958,5674,6199,120392,6729,7063,7728,7809,,5506,5576,5490,5332,81520,5323,5521,5367,
江苏省,,20855,23106,23092,22540,425735,24496,24668,24602,26449,,27275,27524,26528,25582,370726,27275,25753,26861,
浙江省,,14586,16079,15863,15554,284255,15978,15432,16056,17195,,15624,15581,15389,15020,212998,15349,15031,14937,
安徽省,,17813,18258,19196,20802,352751,18727,18937,18814,20595,,21334,20657,20393,20384,276259,22792,22841,22740,
福建省,,10657,10642,10165,10337,189992,10598,11293,11267,11043,,10122,10414,10268,10492,151251,10300,10879,10305,
江西省,,12580,13705,13316,13502,252488,14194,13419,13805,14420,,13650,13147,12901,12496,183396,14514,14360,13324,
山东省,,26721,29000,29957,30835,569311,31654,32094,32127,33569,,35933,35484,35648,33858,479871,35005,34149,35026,
河南省,,28920,31821,31332,32979,579625,30610,32606,34963,33086,,38264,38750,38945,38637,539866,41109,41081,40950,
湖北省,,15029,15744,16182,17461,310274,16854,16684,17468,18884,,19438,19150,19226,18850,276577,21577,21441,18175,
湖南省,,17321,19775,19232,20403,369554,21688,21498,21041,21941,,22800,22059,22447,21835,308624,24909,23521,23772,
广东省,,32489,33986,32421,33330,630674,35212,37022,35639,35612,,34816,34729,35053,33848,462511,27653,26240,27091,
广西壮族自治区,,15250,16124,16127,16376,277465,15202,15385,15085,14642,,17756,17974,17658,16332,215420,17594,16581,16338,
海南省,,2946,2997,3140,3197,57970,3130,3169,3082,3295,,3208,3196,3150,3120,41203,3103,2754,2862,
重庆市,,7301,7471,8111,8112,146462,7386,8486,8224,7955,,8594,9261,9094,8202,111705,8972,10657,9981,
四川省,,19207,20501,22131,23637,406996,22054,21140,23404,23843,,23962,24676,24094,22388,309710,28665,27761,27149,
贵州省,,8967,9112,9478,9951,174867,9483,9731,9289,9004,,10924,10642,9921,9647,119830,10817,9841,10253,
云南省,,11359,12369,12311,12135,220696,12096,11631,11290,11906,,11841,11108,10533,10808,132722,11176,8856,9675,
西藏自治区,,464,458,415,466,6639,304,279,312,378,,305,315,311,265,2799,294,258,282,
陕西省,,11713,10720,11026,11835,207427,11578,12128,12385,12936,,12998,12665,12804,12723,181467,12949,12419,11843,
甘肃省,,5638,5921,6066,6337,112808,6948,6945,6639,6803,,7345,7283,7277,6963,92812,7116,7128,6879,
青海省,,1216,1259,1248,1390,22619,1223,1206,1242,1261,,1186,1231,1269,1295,16520,1369,1311,1306,
宁夏回族自治区,,1695,1700,1769,1821,32026,1882,1825,1871,1955,,1957,1918,1803,1682,22730,1650,1594,1703,
新疆维吾尔自治区,,6316,6203,6093,6743,121585,6805,6697,6418,6419,,7179,6894,6888,6463,87885,6168,5920,5782,
注：2005年、2015年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。具体抽样比详见出版物中《中国统计年鉴》。,,,,,,,,,,,,,,,,,,,,
数据来源：国家统计局,,,,,,,,,,,,,,,,,,,,
